,BBB,BBB_Acc,CYP3A4,CYP3A4_Acc,Clearance,Solubility
"ckpts/MTL3_DropRatio0.5/MolCLR_[X, X, X, Solubility]_sc-12.13_2136.pt",,,,,,1.4508
"ckpts/MTL3_DropRatio0.5/MolCLR_[X, CYP3A4, Clearance, X]_sc-12.13_2135.pt",,,0.5729,67.9,2180.9739,
"ckpts/MTL4_DropRatio0.7/MolCLR_[BBB, CYP3A4, Clearance, Solubility]_sc-12.14_1029.pt",0.4461,83.5,0.5633,69.0,2220.5605,2.1699
"ckpts/MTL4_DropRatio0.7/MolCLR_[X, CYP3A4, X, Solubility]_sc-12.14_1059.pt",,,0.6105,61.2,,2.8387
"ckpts/MTL4_DropRatio0.7/MolCLR_[BBB, CYP3A4, X, Solubility]_sc-12.14_1029.pt",0.3823,85.0,0.5691,69.3,,2.1061
"ckpts/MTL4_DropRatio0.7/MolCLR_[X, X, Clearance, X]_sc-12.14_1123.pt",,,,,2340.2131,
"ckpts/MTL4_DropRatio0.7/MolCLR_[BBB, CYP3A4, Clearance, X]_sc-12.14_1029.pt",0.5119,74.9,0.6223,59.0,2578.1521,
"ckpts/MTL4_DropRatio0.7/MolCLR_[X, X, X, Solubility]_sc-12.14_1135.pt",,,,,,2.5114
"ckpts/MTL4_DropRatio0.7/MolCLR_[BBB, X, X, X]_sc-12.14_1129.pt",0.3934,84.5,,,,
"ckpts/MTL4_DropRatio0.7/MolCLR_[X, CYP3A4, X, X]_sc-12.14_1108.pt",,,0.5595,70.2,,
"ckpts/MTL4_DropRatio0.7/MolCLR_[BBB, CYP3A4, X, X]_sc-12.14_1029.pt",0.4266,83.3,0.5643,70.2,,
"ckpts/MTL4_DropRatio0.7/MolCLR_[BBB, X, X, Solubility]_sc-12.14_1114.pt",0.4315,81.0,,,,2.8323
"ckpts/MTL4_DropRatio0.7/MolCLR_[BBB, X, Clearance, X]_sc-12.14_1150.pt",0.4185,82.5,,,2259.8220,
"ckpts/MTL4_DropRatio0.7/MolCLR_[X, CYP3A4, Clearance, X]_sc-12.14_1126.pt",,,0.6081,65.5,2287.1409,
"ckpts/MTL4_DropRatio0.7/MolCLR_[X, CYP3A4, Clearance, Solubility]_sc-12.14_1045.pt",,,0.6354,59.9,2471.1260,2.8012
"ckpts/MTL4_DropRatio0.7/MolCLR_[X, X, Clearance, Solubility]_sc-12.14_1201.pt",,,,,2542.2913,2.2251
"ckpts/MTL4_DropRatio0.7/MolCLR_[BBB, X, Clearance, Solubility]_sc-12.14_1105.pt",0.4421,81.8,,,2325.7930,2.5222
