,1,2,SMILES,isDrug,isDrug_str,image_url,color
41,39.86783,10.115524,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,1,True,images/41.png,red
42,15.03665,-20.380037,CN1CCC(=C2c3ccccc3CCn3c(C=O)cnc32)CC1,1,True,images/42.png,red
43,-46.45663,55.853207,CC1CC2C3C(Cl)CC4=CC(=O)C=CC4(C)C3C(O)CC2(C)C1(O)C(=O)CO,1,True,images/43.png,red
44,-75.38704,-13.713072,C=CC[N+]12CCC34c5ccccc5N5C=C6C7CC8C9(CC[N+]8(CC=C)CC7=CCO)c7ccccc7N(C=C(C(CC31)C(=CCO)C2)C54)C69,1,True,images/44.png,red
45,-47.18214,53.427822,CC12CCC(=O)C=C1CCC1C2C(O)CC2(C=O)C(C(=O)CO)CCC12,1,True,images/45.png,red
46,5.1389956,-40.40917,CCc1cc2c(cc1N1CCC(N3CCOCC3)CC1)C(C)(C)c1[nH]c3cc(C#N)ccc3c1C2=O,1,True,images/46.png,red
47,-5.436821,67.71695,NCCCC(O)(P(=O)(O)O)P(=O)(O)O,1,True,images/47.png,red
48,-20.842085,-19.17089,CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,1,True,images/48.png,red
49,-9.640228,-21.534916,COc1cc2nc(N(C)CCCNC(=O)C3CCCO3)nc(N)c2cc1OC,1,True,images/49.png,red
50,-65.6489,4.9991827,COCCCOc1cc(CC(CC(N)C(O)CC(C(=O)NCC(C)(C)C(N)=O)C(C)C)C(C)C)ccc1OC,1,True,images/50.png,red
51,-6.5580688,60.98001,CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CC(=O)O,1,True,images/51.png,red
52,-57.779156,44.24491,CC(=O)C1CCC2C3CCC4CC(O)CCC4(C)C3CCC12C,1,True,images/52.png,red
53,83.22304,46.56607,O=c1[nH]cnc2[nH]ncc12,1,True,images/53.png,red
54,31.656755,-12.772325,C=CCNc1nc(NCC=C)nc(N2CCN(C(c3ccc(F)cc3)c3ccc(F)cc3)CC2)n1,1,True,images/54.png,red
55,6.537589,-17.931686,CN(C)CCc1c[nH]c2ccc(CS(=O)(=O)N3CCCC3)cc12,1,True,images/55.png,red
56,27.362217,-13.167741,Cn1c(=O)cc(N2CCCC(N)C2)n(Cc2ccccc2C#N)c1=O,1,True,images/56.png,red
57,61.066383,5.2081327,Cc1[nH]cnc1CN1CCc2c(c3ccccc3n2C)C1=O,1,True,images/57.png,red
58,-4.6662555,-14.308469,Cc1nc(NC(=O)N2CCCC2C(N)=O)sc1-c1ccnc(C(C)(C)C(F)(F)F)c1,1,True,images/58.png,red
59,5.0472813,-47.03554,CC(C(O)c1ccc(O)cc1)N1CCC(Cc2ccccc2)CC1,1,True,images/59.png,red
60,-60.429188,48.107693,CC(=O)OC1CC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)OC(C)C1O,1,True,images/60.png,red
61,48.99855,-6.393574,CCCN(CCC)C(=O)Cc1c(-c2ccc(Cl)cc2)nc2ccc(Cl)cn12,1,True,images/61.png,red
62,77.9321,35.56474,Cc1nnc2n1-c1ccc(Cl)cc1C(c1ccccc1)=NC2,1,True,images/62.png,red
63,-23.761776,64.66185,CCCCCC(O)C=CC1C(O)CC(=O)C1CCCCCCC(=O)O,1,True,images/63.png,red
64,-12.557539,-51.803856,CN(C)c1nc(N(C)C)nc(N(C)C)n1,1,True,images/64.png,red
65,-55.082912,-2.3067143,COC(=O)C1C(c2ccc(F)cc2)CC2CCC1N2CC=CI,1,True,images/65.png,red
66,10.734408,67.36849,[Al],1,True,images/66.png,red
67,-10.29609,-12.693282,CC1CN(CC(Cc2ccccc2)C(=O)NCC(=O)O)CCC1(C)c1cccc(O)c1,1,True,images/67.png,red
68,-57.018734,42.804245,NC12CC3CC(CC(C3)C1)C2,1,True,images/68.png,red
69,-26.515938,-18.150764,CC[N+](CC)(CCNC(=O)C(=O)NCC[N+](CC)(CC)Cc1ccccc1Cl)Cc1ccccc1Cl,1,True,images/69.png,red
70,55.00632,12.592403,COC(c1ccccc1)(c1ccccc1)C(Oc1nc(C)cc(C)n1)C(=O)O,1,True,images/70.png,red
71,-8.91825,-73.31066,Nc1c(Br)cc(Br)cc1CNC1CCC(O)CC1,1,True,images/71.png,red
72,-50.748848,51.145237,CC(=O)OCC(=O)C12OC3(CCCC3)OC1CC1C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C,1,True,images/72.png,red
73,-29.274385,61.87725,CC1(C)SC2C(N=CN3CCCCCC3)C(=O)N2C1C(=O)O,1,True,images/73.png,red
74,72.83325,29.206886,COc1cc(N)cn[n+]1-c1ccccc1,1,True,images/74.png,red
75,-19.347254,1.9470139,CCN(CC)C(C)C(=O)c1ccccc1,1,True,images/75.png,red
76,-9.994268,72.279976,NCCCNCCSP(=O)(O)O,1,True,images/76.png,red
77,-29.56135,73.36052,NCCC(O)C(=O)NC1CC(N)C(OC2OC(CN)C(O)C(O)C2O)C(O)C1OC1OC(CO)C(O)C(N)C1O,1,True,images/77.png,red
78,28.259588,25.80416,NC(N)=NC(=O)c1nc(Cl)c(N)nc1N,1,True,images/78.png,red
79,-10.307053,71.48307,NCCCCCC(=O)O,1,True,images/79.png,red
80,-8.7437105,4.4207916,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O,1,True,images/80.png,red
81,-1.0564677,66.72599,NCC(=O)CCC(=O)O,1,True,images/81.png,red
82,1.2213893,67.656456,Cl.NCC(=O)CCC(=O)O,1,True,images/82.png,red
83,57.734707,23.980541,Cn1c(=O)c2[nH]cnc2n(C)c1=O.Cn1c(=O)c2[nH]cnc2n(C)c1=O.NCCN,1,True,images/83.png,red
84,40.32247,29.304287,Nc1ccc(C(=O)O)c(O)c1,1,True,images/84.png,red
85,32.79452,-29.041895,CCCCc1oc2ccccc2c1C(=O)c1cc(I)c(OCCN(CC)CC)c(I)c1,1,True,images/85.png,red
86,-35.61801,19.222881,CCN1CCCC1CNC(=O)c1cc(S(=O)(=O)CC)c(N)cc1OC,1,True,images/86.png,red
87,32.080624,-23.00855,CN(C)CCC=C1c2ccccc2CCc2ccccc21,1,True,images/87.png,red
88,64.76683,31.957293,CC(C)c1ccc2oc3nc(N)c(C(=O)O)cc3c(=O)c2c1,1,True,images/88.png,red
89,-22.20403,21.208458,CCOC(=O)C1=C(COCCN)NC(C)=C(C(=O)OC)C1c1ccccc1Cl,1,True,images/89.png,red
90,4.9160414,68.58681,N,1,True,images/90.png,red
91,-14.519701,60.829865,CCC1(CCC(C)C)C(=O)NC(=O)NC1=O,1,True,images/91.png,red
92,63.900215,-0.04587409,CCN(CC)Cc1cc(Nc2ccnc3cc(Cl)ccc23)ccc1O,1,True,images/92.png,red
93,19.746471,9.876989,COc1ccccc1OCCNCC(O)c1ccc(C)c(S(N)(=O)=O)c1,1,True,images/93.png,red
94,46.919205,-14.639788,Clc1ccc2c(c1)C(N1CCNCC1)=Nc1ccccc1O2,1,True,images/94.png,red
95,-38.26619,14.740112,CC1(C)SC2C(NC(=O)C(N)c3ccc(O)cc3)C(=O)N2C1C(=O)O,1,True,images/95.png,red
96,57.361515,-17.649103,CC(N)Cc1ccccc1,1,True,images/96.png,red
97,-22.538254,62.9167,CC1C=CC=CC=CC=CC=CC=CC=CC(OC2OC(C)C(O)C(N)C2O)CC2OC(O)(CC(O)CC(O)C(O)CCC(O)CC(O)CC(=O)OC(C)C(C)C1O)CC(O)C2C(=O)O,1,True,images/97.png,red
98,-38.363686,14.507746,CC1(C)SC2C(NC(=O)C(N)c3ccccc3)C(=O)N2C1C(=O)O,1,True,images/98.png,red
99,16.215069,22.993578,CCOC(=O)OC(C)OC1=C(C(=O)Nc2ccccn2)N(C)S(=O)(=O)c2ccccc21,1,True,images/99.png,red
100,-17.04347,-7.271216,CC(C)CN(CC(O)C(Cc1ccccc1)NC(=O)OC1CCOC1)S(=O)(=O)c1ccc(N)cc1,1,True,images/100.png,red
101,74.3271,36.907677,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12,1,True,images/101.png,red
102,37.10245,16.966602,COc1ccccc1OC(=O)CNC(=O)Cc1ccc(C(=O)c2ccc(C)cc2)n1C,1,True,images/102.png,red
103,-10.0487175,71.30035,CCCCCON=O,1,True,images/103.png,red
104,-5.833996,-13.102965,Cc1cc2ncc(C(=O)NCC(C)(C)NCC(=O)N3CCCC3C#N)cn2n1,1,True,images/104.png,red
105,17.817316,18.726776,O=C1CN2Cc3c(ccc(Cl)c3Cl)N=C2N1,1,True,images/105.png,red
106,29.115555,-20.169874,CC(C)(C#N)c1cc(Cn2cncn2)cc(C(C)(C)C#N)c1,1,True,images/106.png,red
107,-36.74227,20.171837,CCC(C)C(NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(NC(=O)C(CCCN=C(N)N)NC(=O)C(N)CC(=O)O)C(C)C)C(=O)NC(Cc1cnc[nH]1)C(=O)N1CCCC1C(=O)NC(Cc1ccccc1)C(=O)O,1,True,images/107.png,red
108,-24.22965,-9.001268,CCCCCOc1ccc(-c2ccc(-c3ccc(C(=O)NC4CC(O)C(O)NC(=O)C5C(O)C(C)CN5C(=O)C(C(C)O)NC(=O)C(C(O)C(O)c5ccc(O)cc5)NC(=O)C5CC(O)CN5C(=O)C(C(C)O)NC4=O)cc3)cc2)cc1,1,True,images/108.png,red
109,4.327099,-33.267723,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1,1,True,images/109.png,red
110,13.83403,-4.096948,CCOC(=O)C1(c2ccccc2)CCN(CCc2ccc(N)cc2)CC1.Cl.Cl,1,True,images/110.png,red
111,-0.18194942,11.9803095,COc1ccc(C(=O)N2CCCC2=O)cc1,1,True,images/111.png,red
112,57.393982,30.145346,COc1ccc(C2C(=O)c3ccccc3C2=O)cc1,1,True,images/112.png,red
113,-51.779537,-22.156515,CN1C2CC(OC(=O)C(CO)c3ccccc3)CC1C(O)C2,1,True,images/113.png,red
114,-73.984,-16.88914,CN1C2CC(OC(=O)C(O)(CO)c3ccccc3)CC1C1OC12,1,True,images/114.png,red
115,-32.180523,68.2623,CCCC(CCC)C(=O)OC1CC2CCC(C1)[N+]2(C)C.[Br-],1,True,images/115.png,red
116,41.862423,-1.5235484,c1ccc(CN(CC2=NCCN2)c2ccccc2)cc1,1,True,images/116.png,red
117,37.884384,-11.328413,COc1ccc(-n2nc(C(N)=O)c3c2C(=O)N(c2ccc(N4CCCCC4=O)cc2)CC3)cc1,1,True,images/117.png,red
118,50.09829,-30.135262,CN1CCc2cccc3c2C1Cc1ccc(O)c(O)c1-3,1,True,images/118.png,red
119,17.641275,8.390236,Nc1cc(Cl)c(NC2=NCCN2)c(Cl)c1,1,True,images/119.png,red
